"Group","Cow","Date","Stim","IFNg"
"Re-vaccinated BCG",6789,2012-11-01,"ESAT",244.5
"Re-vaccinated BCG",6793,2012-11-01,"ESAT",54.4
"Re-vaccinated BCG",6796,2012-11-01,"ESAT",22.6
"Bio-beads/Emulsigen/Pam",1037,2012-11-01,"ESAT",4.3
"Bio-beads/Emulsigen/Pam",1038,2012-11-01,"ESAT",3.5
"Bio-beads/Emulsigen/Pam",1042,2012-11-01,"ESAT",38
"Bio-beads/Emulsigen/Pam",1043,2012-11-01,"ESAT",26.8
"Bio-beads/Emulsigen/Pam",1048,2012-11-01,"ESAT",15.6
"Bio-beads/Emulsigen/Pam",6744,2012-11-01,"ESAT",17.4
"Bio-beads/Emulsigen/Pam",6753,2012-11-01,"ESAT",20.9
"Bio-beads/Emulsigen/Pam",6757,2012-11-01,"ESAT",53
"Bio-beads/Emulsigen/Pam",6760,2012-11-01,"ESAT",9.3
"Bio-beads/Emulsigen/Pam",6764,2012-11-01,"ESAT",15.3
"Bio-beads/Emulsigen/Pam",6768,2012-11-01,"ESAT",17.8
"Bio-beads/Emulsigen/Pam",6773,2012-11-01,"ESAT",149.1
"Bio-beads/Emulsigen/Pam",6783,2012-11-01,"ESAT",31.5
"Bio-beads/Emulsigen/Pam",6787,2012-11-01,"ESAT",9.7
"Bio-beads/Emulsigen/Pam",6795,2012-11-01,"ESAT",20.5
"CFP/DDA/Pam",1027,2012-11-01,"ESAT",13.9
"CFP/DDA/Pam",1040,2012-11-01,"ESAT",4
"CFP/DDA/Pam",1046,2012-11-01,"ESAT",46.4
"CFP/DDA/Pam",1047,2012-11-01,"ESAT",51.3
"CFP/DDA/Pam",6731,2012-11-01,"ESAT",6
"CFP/DDA/Pam",6748,2012-11-01,"ESAT",19.2
"CFP/DDA/Pam",6754,2012-11-01,"ESAT",11.9
"CFP/DDA/Pam",6756,2012-11-01,"ESAT",11.7
"CFP/DDA/Pam",6761,2012-11-01,"ESAT",4.4
"CFP/DDA/Pam",6769,2012-11-01,"ESAT",336
"CFP/DDA/Pam",6770,2012-11-01,"ESAT",120.1
"CFP/DDA/Pam",6775,2012-11-01,"ESAT",140.2
"CFP/DDA/Pam",6786,2012-11-01,"ESAT",9.3
"CFP/DDA/Pam",6791,2012-11-01,"ESAT",7.7
"CFP/DDA/Pam",6794,2012-11-01,"ESAT",9.9
"CFP/DDA/Pam",6797,2012-11-01,"ESAT",9.3
"Non-vaccinated",1030,2012-12-01,"ESAT",6.2
"Non-vaccinated",1032,2012-12-01,"ESAT",8.3
"Non-vaccinated",1045,2012-12-01,"ESAT",11.7
"Non-vaccinated",1050,2012-12-01,"ESAT",3.9
"Non-vaccinated",6745,2012-12-01,"ESAT",89.9
"Non-vaccinated",6749,2012-12-01,"ESAT",34.3
"Non-vaccinated",6751,2012-12-01,"ESAT",72.6
"Non-vaccinated",6755,2012-12-01,"ESAT",13.4
"Non-vaccinated",6765,2012-12-01,"ESAT",0
"Non-vaccinated",6772,2012-12-01,"ESAT",86
"Non-vaccinated",6776,2012-12-01,"ESAT",0.1
"Non-vaccinated",6777,2012-12-01,"ESAT",27.6
"Non-vaccinated",6779,2012-12-01,"ESAT",2.4
"Non-vaccinated",6785,2012-12-01,"ESAT",1.1
"Non-vaccinated",6790,2012-12-01,"ESAT",81.9
"Non-vaccinated",6798,2012-12-01,"ESAT",1
"Non-vaccinated",6799,2012-12-01,"ESAT",2
"BCG once only",1029,2012-12-01,"ESAT",2.5
"BCG once only",1034,2012-12-01,"ESAT",3.2
"BCG once only",1035,2012-12-01,"ESAT",4.6
"BCG once only",1036,2012-12-01,"ESAT",1.3
"BCG once only",1039,2012-12-01,"ESAT",6.8
"BCG once only",1049,2012-12-01,"ESAT",0
"BCG once only",6743,2012-12-01,"ESAT",15.4
"BCG once only",6752,2012-12-01,"ESAT",1.6
"BCG once only",6758,2012-12-01,"ESAT",70.9
"BCG once only",6759,2012-12-01,"ESAT",20.3
"BCG once only",6767,2012-12-01,"ESAT",5.8
"BCG once only",6771,2012-12-01,"ESAT",0.4
"BCG once only",6778,2012-12-01,"ESAT",15.1
"BCG once only",6784,2012-12-01,"ESAT",1.3
"BCG once only",6788,2012-12-01,"ESAT",5.5
"BCG once only",6800,2012-12-01,"ESAT",3.4
"Re-vaccinated BCG",1026,2012-12-01,"ESAT",10.1
"Re-vaccinated BCG",1028,2012-12-01,"ESAT",3.3
"Re-vaccinated BCG",1041,2012-12-01,"ESAT",1.8
"Re-vaccinated BCG",1044,2012-12-01,"ESAT",9.3
"Re-vaccinated BCG",6746,2012-12-01,"ESAT",4.8
"Re-vaccinated BCG",6747,2012-12-01,"ESAT",5.4
"Re-vaccinated BCG",6750,2012-12-01,"ESAT",13.2
"Re-vaccinated BCG",6762,2012-12-01,"ESAT",0.6
"Re-vaccinated BCG",6766,2012-12-01,"ESAT",3.5
"Re-vaccinated BCG",6774,2012-12-01,"ESAT",25
"Re-vaccinated BCG",6780,2012-12-01,"ESAT",5.9
"Re-vaccinated BCG",6781,2012-12-01,"ESAT",6.7
"Re-vaccinated BCG",6789,2012-12-01,"ESAT",37.7
"Re-vaccinated BCG",6793,2012-12-01,"ESAT",34.4
"Re-vaccinated BCG",6796,2012-12-01,"ESAT",4
"Bio-beads/Emulsigen/Pam",1037,2012-12-01,"ESAT",3.4
"Bio-beads/Emulsigen/Pam",1038,2012-12-01,"ESAT",4.1
"Bio-beads/Emulsigen/Pam",1042,2012-12-01,"ESAT",12.4
"Bio-beads/Emulsigen/Pam",1043,2012-12-01,"ESAT",11.6
"Bio-beads/Emulsigen/Pam",1048,2012-12-01,"ESAT",7.8
"Bio-beads/Emulsigen/Pam",6744,2012-12-01,"ESAT",4.5
"Bio-beads/Emulsigen/Pam",6753,2012-12-01,"ESAT",4.4
"Bio-beads/Emulsigen/Pam",6757,2012-12-01,"ESAT",22.7
"Bio-beads/Emulsigen/Pam",6760,2012-12-01,"ESAT",4.7
"Bio-beads/Emulsigen/Pam",6764,2012-12-01,"ESAT",2.5
"Bio-beads/Emulsigen/Pam",6768,2012-12-01,"ESAT",6.3
"Bio-beads/Emulsigen/Pam",6773,2012-12-01,"ESAT",321.1
"Bio-beads/Emulsigen/Pam",6783,2012-12-01,"ESAT",50.9
"Bio-beads/Emulsigen/Pam",6787,2012-12-01,"ESAT",1.9
"Bio-beads/Emulsigen/Pam",6795,2012-12-01,"ESAT",9
"CFP/DDA/Pam",1027,2012-12-01,"ESAT",10.4
"CFP/DDA/Pam",1040,2012-12-01,"ESAT",1.7
"CFP/DDA/Pam",1046,2012-12-01,"ESAT",0.1
"CFP/DDA/Pam",1047,2012-12-01,"ESAT",15.9
"CFP/DDA/Pam",6731,2012-12-01,"ESAT",40.3
"CFP/DDA/Pam",6748,2012-12-01,"ESAT",6
"CFP/DDA/Pam",6754,2012-12-01,"ESAT",5.1
"CFP/DDA/Pam",6756,2012-12-01,"ESAT",1.6
"CFP/DDA/Pam",6761,2012-12-01,"ESAT",0.7
"CFP/DDA/Pam",6769,2012-12-01,"ESAT",262.1
"CFP/DDA/Pam",6770,2012-12-01,"ESAT",38
"CFP/DDA/Pam",6775,2012-12-01,"ESAT",40.7
"CFP/DDA/Pam",6786,2012-12-01,"ESAT",4.8
"CFP/DDA/Pam",6791,2012-12-01,"ESAT",0.3
"CFP/DDA/Pam",6794,2012-12-01,"ESAT",2
"CFP/DDA/Pam",6797,2012-12-01,"ESAT",13.9
"Non-vaccinated",1030,2013-04-01,"ESAT",7.9
"Non-vaccinated",1032,2013-04-01,"ESAT",40.2
"Non-vaccinated",1045,2013-04-01,"ESAT",8.9
"Non-vaccinated",1050,2013-04-01,"ESAT",10
"Non-vaccinated",6745,2013-04-01,"ESAT",228.3
"Non-vaccinated",6749,2013-04-01,"ESAT",18.8
"Non-vaccinated",6751,2013-04-01,"ESAT",64.8
"Non-vaccinated",6755,2013-04-01,"ESAT",7.9
"Non-vaccinated",6765,2013-04-01,"ESAT",2.6
"Non-vaccinated",6772,2013-04-01,"ESAT",57.2
"Non-vaccinated",6776,2013-04-01,"ESAT",3.4
"Non-vaccinated",6777,2013-04-01,"ESAT",26.2
"Non-vaccinated",6779,2013-04-01,"ESAT",3.7
"Non-vaccinated",6785,2013-04-01,"ESAT",11.8
"Non-vaccinated",6790,2013-04-01,"ESAT",298.9
"Non-vaccinated",6798,2013-04-01,"ESAT",7.6
"Non-vaccinated",6799,2013-04-01,"ESAT",11.5
"BCG once only",1029,2013-04-01,"ESAT",4.8
"BCG once only",1034,2013-04-01,"ESAT",3.5
"BCG once only",1035,2013-04-01,"ESAT",19.1
"BCG once only",1036,2013-04-01,"ESAT",5.8
"BCG once only",1039,2013-04-01,"ESAT",19.6
"BCG once only",1049,2013-04-01,"ESAT",5.8
"BCG once only",6743,2013-04-01,"ESAT",7.4
"BCG once only",6752,2013-04-01,"ESAT",2.9
"BCG once only",6758,2013-04-01,"ESAT",34.1
"BCG once only",6759,2013-04-01,"ESAT",8.5
"BCG once only",6767,2013-04-01,"ESAT",5.9
"BCG once only",6771,2013-04-01,"ESAT",5.7
"BCG once only",6778,2013-04-01,"ESAT",25.3
"BCG once only",6784,2013-04-01,"ESAT",13.1
"BCG once only",6788,2013-04-01,"ESAT",11.7
"BCG once only",6800,2013-04-01,"ESAT",8.9
"Re-vaccinated BCG",1026,2013-04-01,"ESAT",36.5
"Re-vaccinated BCG",1028,2013-04-01,"ESAT",4.2
"Re-vaccinated BCG",1041,2013-04-01,"ESAT",25.9
"Re-vaccinated BCG",1044,2013-04-01,"ESAT",7.6
"Re-vaccinated BCG",6746,2013-04-01,"ESAT",4.5
"Re-vaccinated BCG",6747,2013-04-01,"ESAT",10.5
"Re-vaccinated BCG",6750,2013-04-01,"ESAT",13.1
"Re-vaccinated BCG",6762,2013-04-01,"ESAT",9.3
"Re-vaccinated BCG",6766,2013-04-01,"ESAT",12
"Re-vaccinated BCG",6774,2013-04-01,"ESAT",27.4
"Re-vaccinated BCG",6780,2013-04-01,"ESAT",6.4
"Re-vaccinated BCG",6781,2013-04-01,"ESAT",9.4
"Re-vaccinated BCG",6789,2013-04-01,"ESAT",36.7
"Re-vaccinated BCG",6793,2013-04-01,"ESAT",8.8
"Re-vaccinated BCG",6796,2013-04-01,"ESAT",8.9
"Bio-beads/Emulsigen/Pam",1037,2013-04-01,"ESAT",5
"Bio-beads/Emulsigen/Pam",1038,2013-04-01,"ESAT",4.4
"Bio-beads/Emulsigen/Pam",1042,2013-04-01,"ESAT",15
"Bio-beads/Emulsigen/Pam",1043,2013-04-01,"ESAT",17.1
"Bio-beads/Emulsigen/Pam",1048,2013-04-01,"ESAT",24.9
"Bio-beads/Emulsigen/Pam",6744,2013-04-01,"ESAT",11.8
"Bio-beads/Emulsigen/Pam",6753,2013-04-01,"ESAT",5
"Bio-beads/Emulsigen/Pam",6757,2013-04-01,"ESAT",14.9
"Bio-beads/Emulsigen/Pam",6760,2013-04-01,"ESAT",3.8
"Bio-beads/Emulsigen/Pam",6764,2013-04-01,"ESAT",7
"Bio-beads/Emulsigen/Pam",6768,2013-04-01,"ESAT",5.3
"Bio-beads/Emulsigen/Pam",6773,2013-04-01,"ESAT",110.2
"Bio-beads/Emulsigen/Pam",6783,2013-04-01,"ESAT",15.9
"Bio-beads/Emulsigen/Pam",6787,2013-04-01,"ESAT",3.9
"Bio-beads/Emulsigen/Pam",6795,2013-04-01,"ESAT",8.4
"CFP/DDA/Pam",1027,2013-04-01,"ESAT",5.9
"CFP/DDA/Pam",1040,2013-04-01,"ESAT",3.9
"CFP/DDA/Pam",1046,2013-04-01,"ESAT",14.3
"CFP/DDA/Pam",1047,2013-04-01,"ESAT",40.9
"CFP/DDA/Pam",6731,2013-04-01,"ESAT",5.3
"CFP/DDA/Pam",6748,2013-04-01,"ESAT",4.5
"CFP/DDA/Pam",6754,2013-04-01,"ESAT",6.2
"CFP/DDA/Pam",6756,2013-04-01,"ESAT",5.7
"CFP/DDA/Pam",6761,2013-04-01,"ESAT",6
"CFP/DDA/Pam",6769,2013-04-01,"ESAT",157
"CFP/DDA/Pam",6770,2013-04-01,"ESAT",24
"CFP/DDA/Pam",6775,2013-04-01,"ESAT",36.5
"CFP/DDA/Pam",6786,2013-04-01,"ESAT",10.7
"CFP/DDA/Pam",6791,2013-04-01,"ESAT",3.7
"CFP/DDA/Pam",6794,2013-04-01,"ESAT",23.8
"CFP/DDA/Pam",6797,2013-04-01,"ESAT",4.3
"Non-vaccinated",1030,2013-05-01,"ESAT",3045.1
"Non-vaccinated",1032,2013-05-01,"ESAT",2086.7
"Non-vaccinated",1045,2013-05-01,"ESAT",1261.3
"Non-vaccinated",1050,2013-05-01,"ESAT",3031.7
"Non-vaccinated",6745,2013-05-01,"ESAT",3777.8
"Non-vaccinated",6749,2013-05-01,"ESAT",3525.9
"Non-vaccinated",6751,2013-05-01,"ESAT",2017.8
"Non-vaccinated",6755,2013-05-01,"ESAT",2308.6
"Non-vaccinated",6765,2013-05-01,"ESAT",414.2
"Non-vaccinated",6772,2013-05-01,"ESAT",1604.5
"Non-vaccinated",6776,2013-05-01,"ESAT",3166.2
"Non-vaccinated",6777,2013-05-01,"ESAT",1991.9
"Non-vaccinated",6779,2013-05-01,"ESAT",149.4
"Non-vaccinated",6785,2013-05-01,"ESAT",2571.9
"Non-vaccinated",6790,2013-05-01,"ESAT",2890.7
"Non-vaccinated",6798,2013-05-01,"ESAT",2536.3
"Non-vaccinated",6799,2013-05-01,"ESAT",2208.8
"BCG once only",1029,2013-05-01,"ESAT",566.7
"BCG once only",1034,2013-05-01,"ESAT",1965.4
"BCG once only",1035,2013-05-01,"ESAT",2402.9
"BCG once only",1036,2013-05-01,"ESAT",376.1
"BCG once only",1039,2013-05-01,"ESAT",2356.3
"BCG once only",1049,2013-05-01,"ESAT",116.8
"BCG once only",6743,2013-05-01,"ESAT",4292.4
"BCG once only",6752,2013-05-01,"ESAT",3308.8
"BCG once only",6758,2013-05-01,"ESAT",2842.1
"BCG once only",6759,2013-05-01,"ESAT",491.6
"BCG once only",6767,2013-05-01,"ESAT",1687
"BCG once only",6771,2013-05-01,"ESAT",239.8
"BCG once only",6778,2013-05-01,"ESAT",627.6
"BCG once only",6784,2013-05-01,"ESAT",42.1
"BCG once only",6788,2013-05-01,"ESAT",3187
"BCG once only",6800,2013-05-01,"ESAT",1181.2
"Re-vaccinated BCG",1026,2013-05-01,"ESAT",1500.8
"Re-vaccinated BCG",1028,2013-05-01,"ESAT",1292.4
"Re-vaccinated BCG",1041,2013-05-01,"ESAT",1543.6
"Re-vaccinated BCG",1044,2013-05-01,"ESAT",235.9
"Re-vaccinated BCG",6746,2013-05-01,"ESAT",1483.6
"Re-vaccinated BCG",6747,2013-05-01,"ESAT",1022
"Re-vaccinated BCG",6750,2013-05-01,"ESAT",522
"Re-vaccinated BCG",6762,2013-05-01,"ESAT",636.3
"Re-vaccinated BCG",6766,2013-05-01,"ESAT",38.3
"Re-vaccinated BCG",6774,2013-05-01,"ESAT",3718.8
"Re-vaccinated BCG",6780,2013-05-01,"ESAT",674.3
"Re-vaccinated BCG",6781,2013-05-01,"ESAT",969.2
"Re-vaccinated BCG",6789,2013-05-01,"ESAT",65.7
"Re-vaccinated BCG",6793,2013-05-01,"ESAT",949
"Re-vaccinated BCG",6796,2013-05-01,"ESAT",77.3
"Bio-beads/Emulsigen/Pam",1037,2013-05-01,"ESAT",3262.8
"Bio-beads/Emulsigen/Pam",1038,2013-05-01,"ESAT",1435.7
"Bio-beads/Emulsigen/Pam",1042,2013-05-01,"ESAT",2989.2
"Bio-beads/Emulsigen/Pam",1043,2013-05-01,"ESAT",2201.5
"Bio-beads/Emulsigen/Pam",1048,2013-05-01,"ESAT",483.2
"Bio-beads/Emulsigen/Pam",6744,2013-05-01,"ESAT",1079.2
"Bio-beads/Emulsigen/Pam",6753,2013-05-01,"ESAT",3662.3
"Bio-beads/Emulsigen/Pam",6757,2013-05-01,"ESAT",251.3
"Bio-beads/Emulsigen/Pam",6760,2013-05-01,"ESAT",2847
"Bio-beads/Emulsigen/Pam",6764,2013-05-01,"ESAT",2035.6
"Bio-beads/Emulsigen/Pam",6768,2013-05-01,"ESAT",60.5
"Bio-beads/Emulsigen/Pam",6773,2013-05-01,"ESAT",1792.8
"Bio-beads/Emulsigen/Pam",6783,2013-05-01,"ESAT",2020.8
"Bio-beads/Emulsigen/Pam",6787,2013-05-01,"ESAT",266.8
"Bio-beads/Emulsigen/Pam",6795,2013-05-01,"ESAT",2852.3
"CFP/DDA/Pam",1027,2013-05-01,"ESAT",3107.2
"CFP/DDA/Pam",1040,2013-05-01,"ESAT",1230.1
"CFP/DDA/Pam",1046,2013-05-01,"ESAT",875.7
"CFP/DDA/Pam",1047,2013-05-01,"ESAT",1678.1
"CFP/DDA/Pam",6731,2013-05-01,"ESAT",2824.4
"CFP/DDA/Pam",6748,2013-05-01,"ESAT",3694
"CFP/DDA/Pam",6754,2013-05-01,"ESAT",3435.7
"CFP/DDA/Pam",6756,2013-05-01,"ESAT",337
"CFP/DDA/Pam",6761,2013-05-01,"ESAT",153.9
"CFP/DDA/Pam",6769,2013-05-01,"ESAT",1676.6
"CFP/DDA/Pam",6770,2013-05-01,"ESAT",261.9
"CFP/DDA/Pam",6775,2013-05-01,"ESAT",3343.7
"CFP/DDA/Pam",6786,2013-05-01,"ESAT",617.5
"CFP/DDA/Pam",6791,2013-05-01,"ESAT",601.8
"CFP/DDA/Pam",6794,2013-05-01,"ESAT",2650.4
"CFP/DDA/Pam",6797,2013-05-01,"ESAT",1511.4
"Non-vaccinated",1030,2013-06-01,"ESAT",3759.3
"Non-vaccinated",1032,2013-06-01,"ESAT",2285.8
"Non-vaccinated",1045,2013-06-01,"ESAT",657.4
"Non-vaccinated",1050,2013-06-01,"ESAT",811
"Non-vaccinated",6745,2013-06-01,"ESAT",3564.5
"Non-vaccinated",6749,2013-06-01,"ESAT",3534.9
"Non-vaccinated",6751,2013-06-01,"ESAT",1386.4
"Non-vaccinated",6755,2013-06-01,"ESAT",2165.8
"Non-vaccinated",6765,2013-06-01,"ESAT",579.1
"Non-vaccinated",6772,2013-06-01,"ESAT",2589.2
"Non-vaccinated",6776,2013-06-01,"ESAT",2595.1
"Non-vaccinated",6777,2013-06-01,"ESAT",2680.5
"Non-vaccinated",6779,2013-06-01,"ESAT",1489.6
"Non-vaccinated",6785,2013-06-01,"ESAT",845.5
"Non-vaccinated",6790,2013-06-01,"ESAT",3250.2
"Non-vaccinated",6798,2013-06-01,"ESAT",2907.4
"Non-vaccinated",6799,2013-06-01,"ESAT",3239.6
"BCG once only",1029,2013-06-01,"ESAT",3221.1
"BCG once only",1034,2013-06-01,"ESAT",2254.7
"BCG once only",1035,2013-06-01,"ESAT",1926.3
"BCG once only",1036,2013-06-01,"ESAT",713
"BCG once only",1039,2013-06-01,"ESAT",3329.4
"BCG once only",1049,2013-06-01,"ESAT",3870.6
"BCG once only",6743,2013-06-01,"ESAT",3620.5
"BCG once only",6752,2013-06-01,"ESAT",2205.1
"BCG once only",6758,2013-06-01,"ESAT",1674.2
"BCG once only",6759,2013-06-01,"ESAT",3792.8
"BCG once only",6767,2013-06-01,"ESAT",2365.1
"BCG once only",6771,2013-06-01,"ESAT",758.8
"BCG once only",6778,2013-06-01,"ESAT",749.5
"BCG once only",6784,2013-06-01,"ESAT",300.9
"BCG once only",6788,2013-06-01,"ESAT",3043.9
"BCG once only",6800,2013-06-01,"ESAT",3552.7
"Re-vaccinated BCG",1026,2013-06-01,"ESAT",2153.8
"Re-vaccinated BCG",1028,2013-06-01,"ESAT",970.5
"Re-vaccinated BCG",1041,2013-06-01,"ESAT",2966.1
"Re-vaccinated BCG",1044,2013-06-01,"ESAT",3598.3
"Re-vaccinated BCG",6746,2013-06-01,"ESAT",2652.3
"Re-vaccinated BCG",6747,2013-06-01,"ESAT",1070.2
"Re-vaccinated BCG",6750,2013-06-01,"ESAT",1150.5
"Re-vaccinated BCG",6762,2013-06-01,"ESAT",1166.5
"Re-vaccinated BCG",6766,2013-06-01,"ESAT",987.6
"Re-vaccinated BCG",6774,2013-06-01,"ESAT",3050.2
